Function   Line   Status                              Info
s161       723    MissedDetails                       loop not vectorized
s162       785    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s171       811    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s172       837    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s173       859    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s174       884    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s175       909    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s176       933    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s2101      2187   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s2102      2210   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s211       962    MissedDetails                       loop not vectorized
s2111      2234   MissedDetails                       loop not vectorized
s212       985    MissedDetails                       loop not vectorized
s221       1029   MissedDetails                       loop not vectorized
s222       1071   MissedDetails                       loop not vectorized
s2233      1190   MissedDetails                       loop not vectorized
s2244      1356   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s2251      1425   MissedDetails                       loop not vectorized
s2275      1804   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s231       1095   MissedDetails                       loop not vectorized
s232       1119   MissedDetails                       loop not vectorized
s233       1165   MissedDetails                       loop not vectorized
s235       1217   MissedDetails                       loop not vectorized
s241       1240   MissedDetails                       loop not vectorized
s242       1267   MissedDetails                       loop not vectorized
s243       1289   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s244       1313   MissedDetails                       loop not vectorized
s251       1380   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s252       1473   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s253       1498   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s254       1526   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s255       1552   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s256       1577   MissedDetails                       loop not vectorized
s257       1602   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s258       1626   MissedDetails                       loop not vectorized
s261       1653   MissedDetails                       loop not vectorized
s271       1676   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s2710      1977   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s2711      2013   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s2712      2037   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s272       1703   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s273       1728   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s274       1753   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s275       1782   MissedDetails                       loop not vectorized
s276       1829   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s277       1854   MissedDetails                       loop not vectorized
s278       1886   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s279       1916   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s281       2063   MissedDetails                       loop not vectorized
s291       2113   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s292       2140   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s293       2164   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s311       2265   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s3110      2550   MissedDetails                       loop not vectorized
s3111      2612   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s31111     2292   MissedDetails                       loop not vectorized
s3112      2638   MissedDetails                       loop not vectorized
s3113      2663   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s312       2323   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: 8 , interleaved count: InterleaveCount: 1 )
s313       2346   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s314       2370   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s315       2401   MissedDetails                       loop not vectorized
s316       2429   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s317       2456   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: 8 , interleaved count: InterleaveCount: 1 )
s318       2487   MissedDetails                       loop not vectorized
s319       2518   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s321       2687   MissedDetails                       loop not vectorized
s322       2709   MissedDetails                       loop not vectorized
s323       2731   MissedDetails                       loop not vectorized
s3251      1447   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s331       2757   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: 8 , interleaved count: InterleaveCount: 1 )
s332       2789   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s341       2820   MissedDetails                       loop not vectorized
s342       2848   MissedDetails                       loop not vectorized
s343       2877   MissedDetails                       loop not vectorized
s351       2904   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 2 , interleaved count: InterleaveCount: 1 )
s352       2957   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 2 , interleaved count: InterleaveCount: 1 )
s353       2985   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 2 , interleaved count: InterleaveCount: 1 )
s4112      3450   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s4113      3476   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s4114      3505   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s4115      3535   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s4116      3567   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s4117      3590   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s4121      3616   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s421       3021   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s422       3068   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s423       3094   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s424       3121   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s431       3147   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s441       3169   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s442       3197   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s443       3237   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s451       3270   InterleavingNotBeneficial           the cost-model indicates that interleaving is not beneficial
s452       3292   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s453       3316   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s471       3345   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s481       3369   MissedDetails                       loop not vectorized
s482       3395   MissedDetails                       loop not vectorized
s491       3422   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
va         3637   MissedDetails                       loop not vectorized
vag        3664   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
vas        3690   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
vbor       3921   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
vdotr      3897   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
vif        3712   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
vpv        3736   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
vpvpv      3827   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
vpvts      3805   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
vpvtv      3780   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
vsumr      3873   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
vtv        3758   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
vtvtv      3849   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
